code,name,site
010006,北海道,http://www.pref.hokkaido.lg.jp/
011002,札幌市,http://www.city.sapporo.jp/
011011,中央区,http://www.city.sapporo.jp/chuo/
011029,北区,http://www.city.sapporo.jp/kitaku/
011037,東区,http://www.city.sapporo.jp/higashi/
011045,白石区,http://www.city.sapporo.jp/shiroishi/
011053,豊平区,http://www.city.sapporo.jp/toyohira/
011061,南区,http://www.city.sapporo.jp/minami/
011070,西区,http://www.city.sapporo.jp/nishi/
011088,厚別区,http://www.city.sapporo.jp/atsubetsu/
011096,手稲区,http://www.city.sapporo.jp/teine/
011100,清田区,http://www.city.sapporo.jp/kiyota/
012025,函館市,http://www.city.hakodate.hokkaido.jp/
012033,小樽市,http://www.city.otaru.lg.jp/
012041,旭川市,http://www.city.asahikawa.hokkaido.jp/
012050,室蘭市,http://www.city.muroran.lg.jp/
012050,室蘭市,http://www.city.muroran.lg.jp/main/org2260/odlib.php
012068,釧路市,https://www.city.kushiro.lg.jp/
012076,帯広市,http://www.city.obihiro.hokkaido.jp/
012084,北見市,http://www.city.kitami.lg.jp/
012092,夕張市,http://www.city.yubari.lg.jp/
012106,岩見沢市,http://www.city.iwamizawa.hokkaido.jp/
012114,網走市,http://www.city.abashiri.hokkaido.jp/
012122,留萌市,http://www.e-rumoi.jp/
012131,苫小牧市,http://www.city.tomakomai.hokkaido.jp/
012149,稚内市,https://www.city.wakkanai.hokkaido.jp/
012157,美唄市,http://www.city.bibai.hokkaido.jp/
012165,芦別市,http://www.city.ashibetsu.hokkaido.jp/
012173,江別市,http://www.city.ebetsu.hokkaido.jp/
012181,赤平市,http://www.city.akabira.hokkaido.jp/
012190,紋別市,http://mombetsu.jp/
012203,士別市,http://www.city.shibetsu.lg.jp/
012211,名寄市,http://www.city.nayoro.lg.jp/
012220,三笠市,http://www.city.mikasa.hokkaido.jp/
012238,根室市,https://www.city.nemuro.hokkaido.jp/
012246,千歳市,http://www.city.chitose.hokkaido.jp/
012254,滝川市,http://www.city.takikawa.hokkaido.jp/
